time,privacy,queries
34.72,335.6070149,1000
69.44,670.1053637,2000
104.16,998.9397659,3000
138.88,1329.830744,4000
173.6,1657.966281,5000
208.32,1984.43571,6000
243.04,2305.576558,7000
277.76,2628.553651,8000
312.48,2964.874835,9000
347.2,3289.289503,10000
381.92,3610.449371,11000
416.64,3938.523718,12000
451.36,4261.890419,13000
486.08,4585.16747,14000
520.8,4915.976777,15000
555.52,5257.746242,16000
590.24,5592.358639,17000
624.96,5916.455719,18000
659.68,6252.744778,19000
694.4,6581.390455,20000
729.12,6926.806316,21000
763.84,7260.70498,22000
798.56,7591.555809,23000
833.28,7917.596973,24000
868.00,8254.830913,25000